WikiId,First name,Last name,Street count
Rafał_Krajewski,Rafał,Krajewski,7
Książąt_Mazowieckich,Książąt,Mazowieckich,7
Wolfgang_Mozart,Wolfgang Amadeusz,Mozart,7
Maria_Skłodowska,Maria,Skłodowska,7
Henryk_Dembiński,Henryk,Dembiński,7
Witold_Budryk,Witold,Budryk,7
Stanisław_Koniecpolski,Stanisław,Koniecpolski,7
Irena_Kosmowska,Irena,Kosmowska,7
Narcyza_Żmichowska,Narcyza,Żmichowska,7
Roman_Żuliński,Roman,Żuliński,7
Francesco_Nullo,Francesco,Nullo,7
Władysław_Tatarkiewicz,Władysław,Tatarkiewicz,7
Ryszard_Berwiński,Ryszard,Berwiński,7
Stanisław_Pigoń,Stanisław,Pigoń,7
Barbara_Radziwiłłówna,Barbara,Radziwiłłówna,7
Cyryl_Ratajski,Cyryl,Ratajski,7
Tadeusz_Kantor,Tadeusz,Kantor,7
Franciszek_Kamiński,Franciszek,Kamiński,7
Tadeusz_Borowski,Tadeusz,Borowski,7
Maksymilian_Gierymski,Maksymilian,Gierymski,7
Henryk_Górecki,Henryk Mikołaj,Górecki,7
Stanisław_Ligoni,Stanisław,Ligoni,7
Konstanty_Gałczyński,Konstanty I.,Gałczyński,7
Gottlieba_Daimler,Gottlieba,Daimler,7
